intent,button,entities
affirm,是的,
bye,再见！,
canthelp,你没有帮到我,
chitchat/ask_howdoing,最近怎样？,
chitchat/ask_howold,你几岁了？,
chitchat/ask_isbot,你是机器人吗？,
chitchat/ask_ishuman,你是真人吗？,
chitchat/ask_languagesbot,你懂什么语言？,
chitchat/ask_time,现在几点？,
chitchat/ask_whatismyname,我的名字？,
chitchat/ask_whatspossible,你能做什么？,
chitchat/ask_wherefrom,你来自哪里？,
chitchat/ask_whoami,你是谁？,
chitchat/ask_whoisit,你是谁？,
deny,不是,
教学教务/加位,课程怎么加位？,
教学教务/预选课,预选阶段选中的课能退吗？,
教学教务/切换选课校区,怎么切换校区选课？,
教学教务/登录选课系统,怎么登录选课系统？忘记密码怎么办？,
教学教务/网上补交学分费,怎么在网上补交学分费？,
教学教务/不能进入选课系统,选课系统进不去怎么办？,
教学教务/缴学杂费,怎么缴学杂费？,
教学教务/百度文库,百度文库（高校版）使用方法,
教学教务/其他,教学教务相关问题,
就业指导/修改资源信息,怎么修改毕业生资源信息？,
就业指导/补办或申领《就业报到证》,怎么补办或申领《就业报到证》？,
就业指导/申请改派,毕业生申请改派,
就业指导/补办或申领《就业推荐表》,怎么补办或申领《就业推荐表》？,
就业指导/怎么办理社会保险,怎么办理社会保险？,
就业指导/什么是社会保险,什么是社会保险？,
就业指导/怎么签三方协议,怎么签三方协议？,
就业指导/申请毕业生就业补贴,怎么申请毕业生就业补贴？,
就业指导/什么是生源地,生源地是什么？,
就业指导/什么是试用期、见习期和实习期,什么是试用期、见习期和实习期？,
就业指导/重新签约,怎么重新签约？,
就业指导/什么是无效协议,什么是无效协议？,
就业指导/协议书损坏或遗失,协议书损坏或遗失怎么办？,
就业指导/协议书中权利和义务,在协议书中毕业生与用人单位的权利和义务是什么？,
就业指导/其他,就业指导相关问题,
图书馆服务/推荐购买,如何向图书馆推荐购买我想看的书？,
图书馆服务/预约图书,如何预约图书？,
图书馆服务/图书续借,图书如何续借？能续借多久？,
图书馆服务/预借图书,怎样预借图书？,
图书馆服务/借书遗失或污损,在图书馆借的书遗失或者污损，该如何处理？,
图书馆服务/查询借阅记录,怎么查询借阅记录？,
图书馆服务/借不到书,我要借的书通过预借也借不到怎么办？,
